name,slug,released,genre,rating,metacritic
Captain Tsubasa: Rise of New Champions,captain-tsubasa-rise-of-new-champions,2020-08-27,Casual,0.0,72.0
art of rally,art-of-rally,2020-09-23,Racing,3.14,75.0
Those Who Remain,those-who-remain,2020-05-15,Adventure,3.5,
Jets'n'Guns 2,jetsnguns-2,2020-07-24,Indie,0.0,
The Indifferent Wonder of an Edible Place,the-indifferent-wonder-of-an-edible-place,2020-02-06,Casual,0.0,
Someday You'll Return,someday-youll-return,2020-04-14,Indie,3.0,
Liberated,liberated,2020-06-02,Indie,3.14,59.0
Dreamscaper,dreamscaper-2,2020-08-14,Adventure,0.0,
The Room VR: A Dark Matter,the-room-vr-a-dark-matter,2020-03-26,Adventure,0.0,
Final Fantasy Crystal Chronicles Remastered Edition,final-fantasy-crystal-chronicles-remastered-editio,2020-08-27,Action,3.14,60.0
Evan's Remains,evans-remains,2020-06-11,Indie,0.0,
Control Ultimate Edition,control-ultimate-edition,2020-08-27,Shooter,3.7,
If Found...,if-found,2020-05-18,Casual,0.0,
Patapon 2 Remastered,patapon-2-remastered,2020-01-30,Action,0.0,75.0
Hylics 2,hylics-2,2020-06-22,Adventure,0.0,
Neversong,neversong,2020-05-19,Casual,3.5,75.0
AO Tennis 2,ao-tennis-2,2020-01-09,Sports,3.22,67.0
Conglomerate 451,conglomerate-451,2020-02-19,Indie,0.0,
Drug Dealer Simulator,drug-dealer-simulator,2020-04-16,Indie,0.0,59.0
Kill It With Fire: HEATWAVE,kill-it-with-fire-heatwave,2020-07-17,Casual,0.0,
Mr.Mine,mrmine,2020-09-30,Casual,0.0,
Dunk Lords,dunk-lords,2020-07-16,Indie,0.0,
Furry Love,furry-love,2020-07-10,Adventure,0.0,
Population Zero,population-zero,2020-05-05,Adventure,2.42,
Broken Lines,broken-lines,2020-02-25,Strategy,0.0,
Fast & Furious Crossroads,fast-furious-crossroads,2020-08-05,Racing,1.0,39.0
State of Decay 2: Juggernaut Edition,state-of-decay-2-juggernaut-edition,2020-03-13,Shooter,3.05,68.0
3 out of 10,3-out-of-10,2020-08-06,Adventure,0.0,
A Long Way Down,a-long-way-down,2020-01-16,Indie,0.0,
Creepy Tale,creepy-tale,2020-02-20,Indie,3.83,
The Survivalists,the-survivalists,2020-10-09,Indie,0.0,78.0
Good Job!,good-job,2020-03-26,Action,3.6,78.0
Being a DIK - Season 1,being-a-dik-season-1,2020-02-14,Indie,3.55,
Record of Lodoss War-Deedlit in Wonder Labyrinth,record-of-lodoss-war-deedlit-in-wonder-labyrinth,2020-03-12,Indie,0.0,
Crown Trick,crown-trick,2020-10-16,Indie,0.0,
The Alto Collection,the-alto-collection,2020-08-13,Indie,4.17,
Road Bustle,road-bustle,2020-08-22,Casual,0.0,
Paradise Killer,paradise-killer,2020-09-03,Indie,0.0,
Cube Escape Collection,cube-escape-collection,2020-10-14,Indie,0.0,
Alder's Blood,alders-blood,2020-04-10,Strategy,0.0,
Blood of Steel,blood-of-steel,2020-01-09,Strategy,0.0,
Deadly Premonition 2: A Blessing in Disguise,deadly-premonition-2-a-blessing-in-disguise,2020-07-10,Action,0.0,56.0
51 Worldwide Classics,51-worldwide-classics,2020-06-04,Casual,4.11,82.0
Incremental Adventures,incremental-adventures,2020-08-11,Casual,0.0,
Blightbound,blightbound,2020-07-29,Indie,0.0,
Going Under,going-under,2020-09-24,Indie,0.0,76.0
Wildfire,wildfire,2020-05-26,Indie,3.33,78.0
Hellbound,hellbound,2020-08-04,Indie,0.0,
Rock of Ages 3: Make & Break,rock-of-ages-3-make-break,2020-07-21,Racing,3.5,
The Almost Gone,the-almost-gone,2020-06-25,Indie,0.0,
Nexomon: Extinction,nexomon-extinction,2020-08-28,Indie,4.11,
Fantasy General II: Prologue,fantasy-general-ii-prologue,2020-07-01,Strategy,0.0,
Genetic Disaster,genetic-disaster,2020-05-29,Indie,0.0,
Atlantica Global,atlantica-global,2020-04-23,Adventure,0.0,
MY HERO ONE'S JUSTICE 2,my-hero-ones-justice-2,2020-03-12,Action,2.43,
Shin Megami Tensei III: Nocturne HD Remaster,shin-megami-tensei-iii-nocturne-hd-remaster,2020-10-29,RPG,0.0,
One Punch Man: A Hero Nobody Knows,one-punch-man-a-hero-nobody-knows,2020-02-27,Action,2.22,
Yokai's Secret,yokais-secret,2020-02-06,Casual,0.0,
Mortal Kombat 11: Aftermath,mortal-kombat-11-aftermath,2020-05-26,Action,3.91,77.0
No Straight Roads,no-straight-roads,2020-08-25,Action,0.0,
PathOfWuxia,xia-yin-ge-pathofwuxia,2020-05-01,Indie,0.0,
Cloud Gardens,cloud-gardens,2020-09-09,Casual,0.0,
Pretty Neko,pretty-neko,2020-02-20,Casual,0.0,
5D Chess With Multiverse Time Travel,5d-chess-with-multiverse-time-travel,2020-07-22,Indie,0.0,
Thug Life Game,thug-life-game,2020-02-26,Casual,4.17,
The Solitaire Conspiracy,the-solitaire-conspiracy,2020-10-06,Card,0.0,74.0
Metamorphosis,metamorphosis-2,2020-08-11,Indie,0.0,
Disaster Report 4: Summer Memories,disaster-report-4-summer-memories,2020-04-06,none,0.0,
Receiver 2,receiver-2,2020-04-14,Indie,0.0,
WWE 2K Battlegrounds,wwe-2k-battlegrounds,2020-09-18,Action,0.0,65.0
Embr,embr,2020-05-21,Indie,0.0,
Broomstick League,broomstick-league,2020-03-05,Strategy,0.0,
NIGHT OF THE CONSUMERS,night-of-the-consumers,2020-03-07,Action,4.2,
Necromunda: Underhive Wars,necromunda-underhive-wars,2020-09-08,Strategy,0.0,58.0
Drill Deal: Borehole (Alpha),drill-deal-borehole-alpha,2020-08-10,Indie,0.0,
Accident: The Pilot,accident-the-pilot,2020-07-16,Indie,0.0,
Dog Duty,dog-duty,2020-09-17,Indie,0.0,
